scope,espn_id,name,pos,status,wins,losses,skips,appearances,win_pct,dynasty_value,on_field_value,fair_value_2026,fair_value_dynasty
overall,4603186,Jack Bech,WR,rookie,0,4,0,4,0.0,46.2,12.8,37.0,37.0
overall,4430834,Jalen McMillan,WR,fa,0,1,0,1,0.0,38.6,19.7,11.0,11.0
overall,4685415,Travis Hunter,WR,rookie,0,5,0,5,0.0,44.1,27.6,29.0,29.0
overall,4382466,Jalen Nailor,WR,fa,0,2,0,2,0.0,47.9,24.6,41.0,41.0
overall,3121427,Curtis Samuel,WR,fa,0,1,0,1,0.0,31.7,21.0,0.0,0.0
overall,3886809,Andre Baccellia,WR,fa,0,3,0,3,0.0,23.2,11.0,0.0,0.0
overall,4883647,Elic Ayomanor,WR,fa,0,2,0,2,0.0,52.5,22.2,63.0,63.0
overall,4569603,Malik Washington,WR,active,0,4,0,4,0.0,46.3,19.7,35.0,135.0
overall,4426339,Spencer Rattler,QB,fa,0,3,0,3,0.0,36.6,19.0,0.0,0.0
overall,4241464,Mac Jones,QB,fa,0,4,0,4,0.0,51.2,42.0,29.0,29.0
overall,4683423,Riley Leonard,QB,fa,0,3,0,3,0.0,25.3,5.7,0.0,0.0
overall,3116407,Mason Rudolph,QB,fa,0,6,0,6,0.0,32.1,26.4,0.0,0.0
overall,4432762,sheduer,QB,rookie,0,7,0,7,0.0,35.4,18.8,0.0,0.0
overall,4360423,Michael Penix,QB,rookie,0,5,0,5,0.0,39.2,27.0,0.0,0.0
overall,4427238,Dillon Gabriel,QB,fa,0,3,0,3,0.0,33.4,9.7,0.0,0.0
overall,4688380,Cam Ward,QB,practice_squad,0,3,0,3,0.0,41.8,11.5,1.0,1.0
overall,14881,Russell Wilson,QB,fa,0,4,0,4,0.0,33.5,36.4,0.0,0.0
overall,4036378,Jordan Love,QB,fa,0,2,0,2,0.0,67.9,63.4,97.0,97.0
overall,4426338,B. Nix,QB,active,0,4,0,4,0.0,65.0,56.0,84.0,84.0
overall,4431611,Caleb Williams,QB,rookie,0,5,0,5,0.0,60.5,45.9,65.0,65.0
overall,2578570,Jacoby Brissett,QB,fa,0,1,0,1,0.0,40.4,31.9,0.0,0.0
overall,3886812,Jake Browning,QB,fa,0,6,0,6,0.0,34.7,30.9,0.0,0.0
overall,4432577,CJ Stroud,QB,rookie,0,5,0,5,0.0,62.4,52.7,74.0,74.0
overall,15864,Geno Smith,QB,fa,0,4,0,4,0.0,46.3,38.7,11.0,11.0
overall,4360310,Trevor Lawrence,QB,active,0,5,0,5,0.0,59.9,50.6,62.0,62.0
overall,4889929,Quinn Ewers,QB,fa,0,4,0,4,0.0,24.6,6.0,0.0,0.0
overall,4242512,Malik Willis,QB,fa,0,2,0,2,0.0,37.8,33.3,0.0,0.0
overall,2573079,Carson Wentz,QB,fa,0,4,0,4,0.0,33.8,36.5,0.0,0.0
overall,11252,Joe Flacco,QB,fa,0,2,0,2,0.0,22.9,15.4,0.0,0.0
overall,4360967,Brevyn Spann-Ford,TE,fa,0,7,0,7,0.0,34.9,12.7,8.0,8.0
overall,4367209,Greg Dulcich,TE,fa,0,5,0,5,0.0,40.1,34.5,24.0,24.0
overall,4431588,Ja'Tavion Sanders,TE,fa,0,4,0,4,0.0,44.6,23.2,41.0,41.0
overall,3127310,Drew Sample,TE,fa,0,2,1,3,0.0,29.7,12.5,0.0,0.0
overall,4361100,Jack Westover,TE,fa,0,4,0,4,0.0,31.6,3.6,1.0,1.0
overall,4239944,Hunter Long,TE,fa,0,3,0,3,0.0,26.6,16.2,0.0,0.0
overall,4361088,Colson Yankoff,TE,fa,0,3,0,3,0.0,36.3,14.2,12.0,12.0
overall,3052897,Durham Smythe,TE,fa,0,5,0,5,0.0,26.7,8.8,0.0,0.0
overall,4361411,Pat Freiermuth,TE,fa,0,2,0,2,0.0,55.2,48.0,79.0,79.0
overall,4040612,Luke Farrell,TE,fa,0,1,0,1,0.0,34.3,16.6,6.0,6.0
overall,4240472,Noah Gray,TE,fa,0,2,0,2,0.0,43.0,25.9,33.0,33.0
overall,3052096,Johnny Mundt,TE,fa,0,1,0,1,0.0,29.2,15.3,0.0,0.0
overall,4241961,Connor Heyward,TE,fa,0,7,0,7,0.0,32.2,11.7,2.0,2.0
overall,4039160,Kylen Granson,TE,fa,0,2,0,2,0.0,32.1,9.4,2.0,2.0
overall,3121023,Dallas Goedert,TE,fa,0,2,0,2,0.0,50.5,55.1,55.0,55.0
overall,2468609,Taysom Hill,TE,active,0,6,0,6,0.0,24.6,18.5,0.0,0.0
